IVL,SL,IVR,SR,Group,SL_Audio,SR_Audio
L+3,dlexim,-1,mfobif,5,dlexim.mp3,mfobif.mp3
2,črobif,L-2,mdovap,5,črobif.mp3,mdovap.mp3
3,presāv,1,kžazuf,5,presāv.mp3,kžazuf.mp3
H-2,ndexim,L+3,?yekāz,5,ndexim.mp3,-yekāz.mp3
-3,lgexim,L+1,dsazuf,5,lgexim.mp3,dsazuf.mp3
H+3,qlobif,L0,yrexim,5,qlobif.mp3,yrexim.mp3
0,nmovap,H-3,ydekāz,6,nmovap.mp3,ydekāz.mp3
2,dmovap,0,dpexim,6,dmovap.mp3,dpexim.mp3
0,nmazuf,L+2,fyobif,6,nmazuf.mp3,fyobif.mp3
2,pnekāz,L-2,mdazuf,6,pnekāz.mp3,mdazuf.mp3
-1,fpekāz,-1,mfobif,6,fpekāz.mp3,mfobif.mp3
H+3,qlobif,-3,yqovap,6,qlobif.mp3,yqovap.mp3
H-3,ydesāv,-1,čbexim,6,ydesāv.mp3,čbexim.mp3
H+2,kmekāz,H+3,trazuf,6,kmekāz.mp3,trazuf.mp3
0,šzarāč,L+3,dlapid,6,šzarāč.mp3,dlapid.mp3
-1,mfarāč,H0,fšobif,6,mfarāč.mp3,fšobif.mp3
H-1,stazuf,L+3,dlexim,6,stazuf.mp3,dlexim.mp3
1,kžovap,-2,rhapid,6,kžovap.mp3,rhapid.mp3
-2,mkarāč,-3,lgexim,6,mkarāč.mp3,lgexim.mp3
H+1,ksekāz,0,nmovap,6,ksekāz.mp3,nmovap.mp3
L-2,lsarāč,H+3,trazuf,6,lsarāč.mp3,trazuf.mp3
L+1,dsazuf,H-2,ndexim,6,dsazuf.mp3,ndexim.mp3
H+1,smexim,1,kžovap,6,smexim.mp3,kžovap.mp3
2,dmovap,0,čjekāz,6,dmovap.mp3,čjekāz.mp3
L-3,y?arāč,L+1,dsazuf,6,y-arāč.mp3,dsazuf.mp3
-3,yqazuf,2,dmazuf,6,yqazuf.mp3,dmazuf.mp3
L-3,l?ovap,0,dpapid,6,l-ovap.mp3,dpapid.mp3
0,šzobif,-2,mkobif,6,šzobif.mp3,mkobif.mp3
3,prekāz,0,nmovap,6,prekāz.mp3,nmovap.mp3
0,dpapid,3,prekāz,6,dpapid.mp3,prekāz.mp3
L+1,dsovap,0,šzobif,6,dsovap.mp3,šzobif.mp3
H+3,trovap,H+2,kmekāz,6,trovap.mp3,kmekāz.mp3
-1,mčovap,L-3,y?arāč,6,mčovap.mp3,y-arāč.mp3
-1,mčazuf,3,prekāz,6,mčazuf.mp3,prekāz.mp3
-2,ržesāv,1,myarāč,6,ržesāv.mp3,myarāč.mp3
0,dpapid,L-3,l?azuf,6,dpapid.mp3,l-azuf.mp3
L+1,dsazuf,-3,rpekāz,6,dsazuf.mp3,rpekāz.mp3
L+1,dsovap,L0,mnesāv,6,dsovap.mp3,mnesāv.mp3
1,myobif,H+2,hrexim,6,myobif.mp3,hrexim.mp3
