IVL,SL,IVR,SR,Group,SL_Audio,SR_Audio
-2,ržesāv,L-1,fqapid,17,ržesāv.mp3,fqapid.mp3
2,črobif,-1,čbapid,17,črobif.mp3,čbapid.mp3
3,kyarāč,0,šzarāč,17,kyarāč.mp3,šzarāč.mp3
H+1,smapid,2,dmovap,17,smapid.mp3,dmovap.mp3
H-1,stazuf,H-1,njarāč,17,stazuf.mp3,njarāč.mp3
0,šzarāč,-1,mfobif,17,šzarāč.mp3,mfobif.mp3
-2,mkarāč,H+3,qlarāč,17,mkarāč.mp3,qlarāč.mp3
-3,ypobif,1,bfesāv,17,ypobif.mp3,bfesāv.mp3
3,kyarāč,1,bfesāv,17,kyarāč.mp3,bfesāv.mp3
L+2,xlazuf,H-3,rdexim,17,xlazuf.mp3,rdexim.mp3
H0,qtovap,-3,lgexim,17,qtovap.mp3,lgexim.mp3
L+2,fyobif,H-3,ydesāv,17,fyobif.mp3,ydesāv.mp3
1,bfekāz,0,nmovap,17,bfekāz.mp3,nmovap.mp3
L-2,mdazuf,H0,qtovap,17,mdazuf.mp3,qtovap.mp3
H-1,stovap,H-3,rdexim,18,stovap.mp3,rdexim.mp3
L-1,fqexim,H-2,rzekāz,18,fqexim.mp3,rzekāz.mp3
0,čjesāv,H+2,hrapid,18,čjesāv.mp3,hrapid.mp3
0,nmovap,1,jnexim,18,nmovap.mp3,jnexim.mp3
L0,yrexim,3,plexim,18,yrexim.mp3,plexim.mp3
1,kžazuf,-2,lzovap,18,kžazuf.mp3,lzovap.mp3
L+2,xlazuf,L+1,fnobif,18,xlazuf.mp3,fnobif.mp3
L-2,lsobif,-3,rpesāv,18,lsobif.mp3,rpesāv.mp3
2,dmazuf,-2,mkobif,18,dmazuf.mp3,mkobif.mp3
L-3,y?obif,L+1,fnarāč,18,y-obif.mp3,fnarāč.mp3
-2,rhexim,L-1,fqexim,18,rhexim.mp3,fqexim.mp3
-2,mkarāč,-3,yparāč,18,mkarāč.mp3,yparāč.mp3
L0,yrexim,H0,fšobif,18,yrexim.mp3,fšobif.mp3
3,presāv,0,šzobif,18,presāv.mp3,šzobif.mp3
H-1,stazuf,-2,ržesāv,18,stazuf.mp3,ržesāv.mp3
L-2,lsobif,H+1,ksesāv,18,lsobif.mp3,ksesāv.mp3
0,čjekāz,-1,mčazuf,18,čjekāz.mp3,mčazuf.mp3
L-2,lsarāč,H-2,rzesāv,18,lsarāč.mp3,rzesāv.mp3
-3,rpesāv,0,nmovap,18,rpesāv.mp3,nmovap.mp3
L-1,fqexim,1,jnapid,18,fqexim.mp3,jnapid.mp3
L+2,fyarāč,L+3,dlexim,18,fyarāč.mp3,dlexim.mp3
-3,ypobif,H0,qtazuf,18,ypobif.mp3,qtazuf.mp3
-3,lgexim,L+1,fnarāč,18,lgexim.mp3,fnarāč.mp3
L+2,fyarāč,L0,yrexim,18,fyarāč.mp3,yrexim.mp3
-3,yparāč,L-1,fqexim,18,yparāč.mp3,fqexim.mp3
H-2,ndapid,L+3,?yekāz,18,ndapid.mp3,-yekāz.mp3
L+3,?yekāz,-1,čbexim,18,-yekāz.mp3,čbexim.mp3
H0,qtazuf,-1,fpesāv,18,qtazuf.mp3,fpesāv.mp3
L-1,fqapid,-3,yparāč,18,fqapid.mp3,yparāč.mp3
1,kžovap,H-3,ydekāz,18,kžovap.mp3,ydekāz.mp3
3,plapid,L-2,mdovap,18,plapid.mp3,mdovap.mp3
2,pnekāz,2,šlapid,18,pnekāz.mp3,šlapid.mp3
-3,rpesāv,L+2,fyarāč,18,rpesāv.mp3,fyarāč.mp3
H0,qtazuf,0,čjesāv,18,qtazuf.mp3,čjesāv.mp3
H+3,trazuf,L-2,mdazuf,18,trazuf.mp3,mdazuf.mp3
3,byazuf,H0,fšobif,18,byazuf.mp3,fšobif.mp3
H-2,rzesāv,3,plapid,18,rzesāv.mp3,plapid.mp3
-3,yparāč,-1,čbapid,18,yparāč.mp3,čbapid.mp3
H+1,ksekāz,H-2,rzesāv,18,ksekāz.mp3,rzesāv.mp3
H-3,rdapid,H-1,njobif,18,rdapid.mp3,njobif.mp3
2,črarāč,-1,mčovap,18,črarāč.mp3,mčovap.mp3
H-3,rdexim,L-3,l?ovap,18,rdexim.mp3,l-ovap.mp3
L-3,l?azuf,0,nmazuf,18,l-azuf.mp3,nmazuf.mp3
L-1,ymesāv,3,byazuf,18,ymesāv.mp3,byazuf.mp3
-1,mfarāč,-2,ržesāv,18,mfarāč.mp3,ržesāv.mp3
L-3,y?arāč,3,byazuf,18,y-arāč.mp3,byazuf.mp3
L0,yrapid,L+3,dlapid,18,yrapid.mp3,dlapid.mp3
L-1,ymekāz,L+2,fyarāč,18,ymekāz.mp3,fyarāč.mp3
L0,yrapid,L-2,mdovap,18,yrapid.mp3,mdovap.mp3
-1,mfobif,-3,rpekāz,18,mfobif.mp3,rpekāz.mp3
3,byazuf,H+3,qlobif,18,byazuf.mp3,qlobif.mp3
L+2,fyobif,-1,čbapid,18,fyobif.mp3,čbapid.mp3
-2,rhapid,2,dmovap,18,rhapid.mp3,dmovap.mp3
3,kyobif,-3,rpesāv,18,kyobif.mp3,rpesāv.mp3
0,nmazuf,-2,lzovap,18,nmazuf.mp3,lzovap.mp3
-3,rpesāv,-1,čbexim,18,rpesāv.mp3,čbexim.mp3
H-2,rzekāz,-1,mčovap,19,rzekāz.mp3,mčovap.mp3
H+2,hrapid,0,dpexim,19,hrapid.mp3,dpexim.mp3
-3,yqazuf,-2,lzazuf,19,yqazuf.mp3,lzazuf.mp3
-3,lgexim,H+1,smapid,19,lgexim.mp3,smapid.mp3
1,bfekāz,-1,mfarāč,19,bfekāz.mp3,mfarāč.mp3
2,črarāč,L+3,?yekāz,19,črarāč.mp3,-yekāz.mp3
-2,ržekāz,H-3,rdexim,19,ržekāz.mp3,rdexim.mp3
-1,čbexim,2,črobif,19,čbexim.mp3,črobif.mp3
H-3,ydekāz,3,byazuf,19,ydekāz.mp3,byazuf.mp3
H0,qtovap,2,dmovap,19,qtovap.mp3,dmovap.mp3
3,byazuf,-1,čbexim,19,byazuf.mp3,čbexim.mp3
H+1,ksesāv,-2,mkarāč,19,ksesāv.mp3,mkarāč.mp3
-3,yparāč,2,dmovap,19,yparāč.mp3,dmovap.mp3
0,čjekāz,L-1,fqapid,19,čjekāz.mp3,fqapid.mp3
L0,mnesāv,-1,fpekāz,19,mnesāv.mp3,fpekāz.mp3
0,čjekāz,-1,mfobif,19,čjekāz.mp3,mfobif.mp3
1,myobif,1,jnexim,19,myobif.mp3,jnexim.mp3
H+1,ksesāv,H+1,smapid,19,ksesāv.mp3,smapid.mp3
2,šlapid,3,presāv,19,šlapid.mp3,presāv.mp3
L-2,lsobif,H+3,qlarāč,19,lsobif.mp3,qlarāč.mp3
2,črarāč,2,dmazuf,19,črarāč.mp3,dmazuf.mp3
L-2,lsobif,L0,yrapid,19,lsobif.mp3,yrapid.mp3
-3,yqazuf,H0,qtovap,19,yqazuf.mp3,qtovap.mp3
L-2,mdovap,2,šlexim,19,mdovap.mp3,šlexim.mp3
H-1,stazuf,1,myarāč,19,stazuf.mp3,myarāč.mp3
0,šzarāč,-1,mčovap,19,šzarāč.mp3,mčovap.mp3
-1,fpekāz,-3,lgexim,19,fpekāz.mp3,lgexim.mp3
L+1,dsazuf,-3,yqazuf,19,dsazuf.mp3,yqazuf.mp3
H-1,njobif,H+2,kmekāz,19,njobif.mp3,kmekāz.mp3
-3,ypobif,H+2,kmesāv,19,ypobif.mp3,kmesāv.mp3
H0,qtovap,-1,fpekāz,19,qtovap.mp3,fpekāz.mp3
H+2,hrapid,-3,lgapid,19,hrapid.mp3,lgapid.mp3
L+1,fnobif,L+2,xlovap,19,fnobif.mp3,xlovap.mp3
-2,ržekāz,-3,lgexim,19,ržekāz.mp3,lgexim.mp3
H-2,ndapid,H+3,trovap,19,ndapid.mp3,trovap.mp3
H-1,stazuf,-3,rpesāv,19,stazuf.mp3,rpesāv.mp3
0,nmovap,-3,ypobif,19,nmovap.mp3,ypobif.mp3
H+3,trovap,L+1,dsovap,19,trovap.mp3,dsovap.mp3
3,kyarāč,L+3,?yesāv,19,kyarāč.mp3,-yesāv.mp3
H-2,ndapid,H+1,smexim,19,ndapid.mp3,smexim.mp3
2,šlexim,H-1,stovap,19,šlexim.mp3,stovap.mp3
H-1,njobif,2,črarāč,19,njobif.mp3,črarāč.mp3
L-2,mdovap,H+1,ksesāv,19,mdovap.mp3,ksesāv.mp3
1,jnexim,1,kžazuf,19,jnexim.mp3,kžazuf.mp3
-1,mfobif,1,bfekāz,19,mfobif.mp3,bfekāz.mp3
-1,čbexim,-2,lzazuf,19,čbexim.mp3,lzazuf.mp3
L-1,ymekāz,-2,rhapid,19,ymekāz.mp3,rhapid.mp3
-2,lzovap,1,bfekāz,19,lzovap.mp3,bfekāz.mp3
2,pnesāv,0,čjekāz,19,pnesāv.mp3,čjekāz.mp3
-2,mkarāč,2,črarāč,19,mkarāč.mp3,črarāč.mp3
H-1,njarāč,L-1,fqexim,19,njarāč.mp3,fqexim.mp3
3,kyobif,L+1,fnobif,19,kyobif.mp3,fnobif.mp3
1,myobif,L+2,fyarāč,19,myobif.mp3,fyarāč.mp3
3,byovap,-3,rpekāz,19,byovap.mp3,rpekāz.mp3
-3,yqazuf,-1,čbexim,19,yqazuf.mp3,čbexim.mp3
0,čjesāv,H-2,ndexim,19,čjesāv.mp3,ndexim.mp3
1,jnexim,0,nmazuf,20,jnexim.mp3,nmazuf.mp3
-2,lzovap,L-2,mdazuf,20,lzovap.mp3,mdazuf.mp3
-2,ržekāz,L-3,l?ovap,20,ržekāz.mp3,l-ovap.mp3
2,dmazuf,1,jnexim,20,dmazuf.mp3,jnexim.mp3
H+3,trovap,3,byovap,20,trovap.mp3,byovap.mp3
-2,ržesāv,H+1,smapid,20,ržesāv.mp3,smapid.mp3
2,šlexim,1,myobif,20,šlexim.mp3,myobif.mp3
-3,yparāč,0,čjesāv,20,yparāč.mp3,čjesāv.mp3
2,šlapid,L+2,xlovap,20,šlapid.mp3,xlovap.mp3
1,kžazuf,H-2,ndapid,20,kžazuf.mp3,ndapid.mp3
H-2,rzesāv,H0,fšobif,20,rzesāv.mp3,fšobif.mp3
H+2,hrapid,L+3,dlapid,20,hrapid.mp3,dlapid.mp3
-2,ržekāz,-3,yqazuf,20,ržekāz.mp3,yqazuf.mp3
0,šzobif,3,kyobif,20,šzobif.mp3,kyobif.mp3
3,kyarāč,H+1,ksekāz,20,kyarāč.mp3,ksekāz.mp3
L-3,y?arāč,3,kyobif,20,y-arāč.mp3,kyobif.mp3
-1,mfarāč,-2,lzazuf,20,mfarāč.mp3,lzazuf.mp3
L-3,y?obif,H+3,trazuf,20,y-obif.mp3,trazuf.mp3
-3,rpesāv,-3,yqazuf,20,rpesāv.mp3,yqazuf.mp3
0,čjesāv,3,prekāz,20,čjesāv.mp3,prekāz.mp3
L-2,lsarāč,3,kyarāč,20,lsarāč.mp3,kyarāč.mp3
-1,fpekāz,L-1,fqapid,20,fpekāz.mp3,fqapid.mp3
L-3,y?arāč,1,bfekāz,20,y-arāč.mp3,bfekāz.mp3
H-3,rdexim,H+2,kmekāz,20,rdexim.mp3,kmekāz.mp3
H-1,njarāč,H+1,smexim,20,njarāč.mp3,smexim.mp3
-3,yqovap,3,plapid,20,yqovap.mp3,plapid.mp3
-2,lzovap,H+1,smapid,20,lzovap.mp3,smapid.mp3
-2,rhapid,H+2,hrapid,20,rhapid.mp3,hrapid.mp3
H0,qtazuf,H+2,kmekāz,20,qtazuf.mp3,kmekāz.mp3
3,byazuf,-2,ržekāz,20,byazuf.mp3,ržekāz.mp3
H-1,njarāč,0,šzobif,20,njarāč.mp3,šzobif.mp3
L-1,ymesāv,H+3,trovap,20,ymesāv.mp3,trovap.mp3
1,bfesāv,-3,lgexim,20,bfesāv.mp3,lgexim.mp3
-1,fpesāv,-1,čbexim,20,fpesāv.mp3,čbexim.mp3
H0,fšobif,H-3,ydekāz,20,fšobif.mp3,ydekāz.mp3
-2,mkarāč,H+1,ksekāz,20,mkarāč.mp3,ksekāz.mp3
0,šzobif,-1,mfarāč,20,šzobif.mp3,mfarāč.mp3
0,dpapid,-3,yqovap,20,dpapid.mp3,yqovap.mp3
-2,ržekāz,-2,lzovap,20,ržekāz.mp3,lzovap.mp3
-3,rpesāv,2,pnesāv,20,rpesāv.mp3,pnesāv.mp3
H+2,hrexim,L+3,dlapid,20,hrexim.mp3,dlapid.mp3
L-1,fqexim,L+3,?yekāz,20,fqexim.mp3,-yekāz.mp3
H-1,stovap,L+1,fnarāč,20,stovap.mp3,fnarāč.mp3
L+2,xlazuf,-2,mkarāč,20,xlazuf.mp3,mkarāč.mp3
L0,yrapid,2,šlexim,20,yrapid.mp3,šlexim.mp3
H-3,rdexim,H+2,kmesāv,20,rdexim.mp3,kmesāv.mp3
-1,fpekāz,2,črarāč,20,fpekāz.mp3,črarāč.mp3
L-3,l?ovap,H-2,rzekāz,20,l-ovap.mp3,rzekāz.mp3
L-2,mdovap,L-2,lsarāč,20,mdovap.mp3,lsarāč.mp3
H+3,qlobif,-3,yqazuf,20,qlobif.mp3,yqazuf.mp3
3,kyarāč,H-3,ydekāz,20,kyarāč.mp3,ydekāz.mp3
L+3,?yesāv,H-3,rdapid,20,-yesāv.mp3,rdapid.mp3
L+3,dlexim,1,jnapid,20,dlexim.mp3,jnapid.mp3
3,prekāz,-1,mčovap,20,prekāz.mp3,mčovap.mp3
0,šzobif,1,myobif,20,šzobif.mp3,myobif.mp3
L+1,fnarāč,-2,lzovap,20,fnarāč.mp3,lzovap.mp3
1,kžazuf,-2,mkarāč,21,kžazuf.mp3,mkarāč.mp3
3,kyobif,-3,lgexim,21,kyobif.mp3,lgexim.mp3
0,čjesāv,L-1,fqexim,21,čjesāv.mp3,fqexim.mp3
3,byazuf,-1,fpesāv,21,byazuf.mp3,fpesāv.mp3
0,dpexim,0,čjesāv,21,dpexim.mp3,čjesāv.mp3
-1,fpesāv,1,bfekāz,21,fpesāv.mp3,bfekāz.mp3
H+3,qlobif,0,čjekāz,21,qlobif.mp3,čjekāz.mp3
H0,qtovap,-3,rpesāv,21,qtovap.mp3,rpesāv.mp3
-1,čbapid,H-1,njarāč,21,čbapid.mp3,njarāč.mp3
H-2,rzesāv,L-1,ymekāz,21,rzesāv.mp3,ymekāz.mp3
0,nmovap,3,byovap,21,nmovap.mp3,byovap.mp3
-3,rpesāv,-1,mfobif,21,rpesāv.mp3,mfobif.mp3
H-3,ydesāv,H0,qtovap,21,ydesāv.mp3,qtovap.mp3
3,kyobif,2,črobif,21,kyobif.mp3,črobif.mp3
-3,yparāč,L0,mnekāz,21,yparāč.mp3,mnekāz.mp3
L-1,ymekāz,H-3,ydekāz,21,ymekāz.mp3,ydekāz.mp3
3,kyarāč,1,myarāč,21,kyarāč.mp3,myarāč.mp3
1,myarāč,L+2,fyarāč,21,myarāč.mp3,fyarāč.mp3
1,kžazuf,-2,rhexim,21,kžazuf.mp3,rhexim.mp3
0,nmazuf,1,kžazuf,21,nmazuf.mp3,kžazuf.mp3
L+2,fyarāč,3,presāv,21,fyarāč.mp3,presāv.mp3
3,prekāz,L+1,dsazuf,21,prekāz.mp3,dsazuf.mp3
-2,lzovap,0,šzarāč,21,lzovap.mp3,šzarāč.mp3
-3,rpekāz,2,pnekāz,21,rpekāz.mp3,pnekāz.mp3
L+1,dsovap,3,plexim,21,dsovap.mp3,plexim.mp3
H+2,hrexim,L-3,y?obif,21,hrexim.mp3,y-obif.mp3
-2,lzovap,3,prekāz,21,lzovap.mp3,prekāz.mp3
1,kžovap,H+3,trazuf,21,kžovap.mp3,trazuf.mp3
-3,yqazuf,H+2,hrexim,21,yqazuf.mp3,hrexim.mp3
-1,fpesāv,L-1,fqexim,21,fpesāv.mp3,fqexim.mp3
H+2,kmesāv,0,nmovap,21,kmesāv.mp3,nmovap.mp3
H+3,qlarāč,1,bfekāz,21,qlarāč.mp3,bfekāz.mp3
2,črobif,H-3,ydesāv,21,črobif.mp3,ydesāv.mp3
3,kyobif,3,plexim,21,kyobif.mp3,plexim.mp3
L-1,ymesāv,-3,ypobif,21,ymesāv.mp3,ypobif.mp3
0,čjekāz,0,dpexim,21,čjekāz.mp3,dpexim.mp3
-2,ržesāv,L0,yrexim,21,ržesāv.mp3,yrexim.mp3
-3,yparāč,3,kyarāč,21,yparāč.mp3,kyarāč.mp3
-3,lgexim,0,dpexim,21,lgexim.mp3,dpexim.mp3
-1,čbexim,H0,fšobif,21,čbexim.mp3,fšobif.mp3
0,čjekāz,L+2,fyobif,21,čjekāz.mp3,fyobif.mp3
H-2,ndapid,L-3,y?arāč,21,ndapid.mp3,y-arāč.mp3
H+1,smapid,L-2,lsobif,21,smapid.mp3,lsobif.mp3
-1,čbexim,0,nmovap,21,čbexim.mp3,nmovap.mp3
L-1,fqexim,-2,lzazuf,21,fqexim.mp3,lzazuf.mp3
-1,čbexim,L-1,ymesāv,21,čbexim.mp3,ymesāv.mp3
L-3,l?ovap,1,kžovap,21,l-ovap.mp3,kžovap.mp3
L-2,mdazuf,H+1,smexim,21,mdazuf.mp3,smexim.mp3
0,čjekāz,H+2,hrapid,21,čjekāz.mp3,hrapid.mp3
H+2,hrapid,3,kyobif,21,hrapid.mp3,kyobif.mp3
H-2,rzesāv,H-3,rdexim,21,rzesāv.mp3,rdexim.mp3
2,črarāč,H+2,kmesāv,21,črarāč.mp3,kmesāv.mp3
3,presāv,-2,rhapid,21,presāv.mp3,rhapid.mp3
L+1,dsovap,3,kyobif,21,dsovap.mp3,kyobif.mp3
L+3,dlapid,H+1,smexim,21,dlapid.mp3,smexim.mp3
-1,mčovap,1,kžazuf,21,mčovap.mp3,kžazuf.mp3
L-1,fqapid,-2,rhapid,22,fqapid.mp3,rhapid.mp3
H+2,kmesāv,H+3,trovap,22,kmesāv.mp3,trovap.mp3
3,byovap,-3,yparāč,22,byovap.mp3,yparāč.mp3
H+1,ksekāz,L-3,y?obif,22,ksekāz.mp3,y-obif.mp3
-3,yqazuf,1,jnexim,22,yqazuf.mp3,jnexim.mp3
3,prekāz,H-3,rdexim,22,prekāz.mp3,rdexim.mp3
-2,rhapid,H-1,stovap,22,rhapid.mp3,stovap.mp3
L+1,fnobif,L-2,mdazuf,22,fnobif.mp3,mdazuf.mp3
H+2,hrexim,-1,fpesāv,22,hrexim.mp3,fpesāv.mp3
L0,yrapid,L-1,ymekāz,22,yrapid.mp3,ymekāz.mp3
H-3,ydesāv,1,myobif,22,ydesāv.mp3,myobif.mp3
1,jnexim,-2,lzazuf,22,jnexim.mp3,lzazuf.mp3
1,myarāč,-2,mkobif,22,myarāč.mp3,mkobif.mp3
H+1,smapid,H+2,kmesāv,22,smapid.mp3,kmesāv.mp3
L+2,xlazuf,-2,lzazuf,22,xlazuf.mp3,lzazuf.mp3
0,čjesāv,L0,yrexim,22,čjesāv.mp3,yrexim.mp3
1,myarāč,L-1,fqapid,22,myarāč.mp3,fqapid.mp3
-3,yparāč,L+1,dsazuf,22,yparāč.mp3,dsazuf.mp3
2,pnekāz,H-2,ndexim,22,pnekāz.mp3,ndexim.mp3
2,šlexim,-2,rhexim,22,šlexim.mp3,rhexim.mp3
L+3,dlapid,1,myobif,22,dlapid.mp3,myobif.mp3
H-1,njarāč,L+3,?yesāv,22,njarāč.mp3,-yesāv.mp3
L+3,?yekāz,L+3,dlapid,22,-yekāz.mp3,dlapid.mp3
-1,mčovap,H+2,hrexim,22,mčovap.mp3,hrexim.mp3
2,dmazuf,H0,fšarāč,22,dmazuf.mp3,fšarāč.mp3
1,kžazuf,-1,mfobif,22,kžazuf.mp3,mfobif.mp3
L+2,fyarāč,H-1,stazuf,22,fyarāč.mp3,stazuf.mp3
H+3,trazuf,0,dpexim,22,trazuf.mp3,dpexim.mp3
0,dpapid,-3,ypobif,22,dpapid.mp3,ypobif.mp3
1,bfekāz,0,šzarāč,22,bfekāz.mp3,šzarāč.mp3
0,čjesāv,H-2,ndapid,22,čjesāv.mp3,ndapid.mp3
H+1,smexim,3,byovap,22,smexim.mp3,byovap.mp3
H+3,qlarāč,-2,lzovap,22,qlarāč.mp3,lzovap.mp3
H-2,ndexim,-1,čbexim,22,ndexim.mp3,čbexim.mp3
-3,rpekāz,L-2,lsarāč,22,rpekāz.mp3,lsarāč.mp3
H-1,njobif,-3,rpesāv,22,njobif.mp3,rpesāv.mp3
H-3,rdexim,-3,rpekāz,22,rdexim.mp3,rpekāz.mp3
H-1,stazuf,H-2,ndexim,22,stazuf.mp3,ndexim.mp3
L-1,ymesāv,L-1,fqexim,22,ymesāv.mp3,fqexim.mp3
-1,čbapid,2,pnesāv,22,čbapid.mp3,pnesāv.mp3
2,šlexim,0,čjekāz,22,šlexim.mp3,čjekāz.mp3
3,byazuf,3,prekāz,22,byazuf.mp3,prekāz.mp3
L-1,ymekāz,0,dpapid,22,ymekāz.mp3,dpapid.mp3
H+3,trovap,L+2,xlazuf,22,trovap.mp3,xlazuf.mp3
H+2,hrexim,L+1,dsovap,22,hrexim.mp3,dsovap.mp3
L0,yrexim,H+3,trovap,22,yrexim.mp3,trovap.mp3
L-2,mdovap,H+3,trazuf,22,mdovap.mp3,trazuf.mp3
H-3,rdapid,-1,čbexim,22,rdapid.mp3,čbexim.mp3
0,šzobif,-1,mčovap,22,šzobif.mp3,mčovap.mp3
L0,mnekāz,3,byazuf,22,mnekāz.mp3,byazuf.mp3
1,myobif,3,plexim,22,myobif.mp3,plexim.mp3
H-3,ydesāv,0,šzarāč,22,ydesāv.mp3,šzarāč.mp3
H0,fšobif,L-3,l?azuf,22,fšobif.mp3,l-azuf.mp3
L+1,dsazuf,-1,mčovap,22,dsazuf.mp3,mčovap.mp3
3,kyobif,L+2,xlovap,22,kyobif.mp3,xlovap.mp3
-1,mčovap,0,čjekāz,22,mčovap.mp3,čjekāz.mp3
H0,fšobif,L-2,mdovap,23,fšobif.mp3,mdovap.mp3
0,čjesāv,1,myobif,23,čjesāv.mp3,myobif.mp3
L-2,mdazuf,H-3,ydesāv,23,mdazuf.mp3,ydesāv.mp3
-3,yqazuf,L+1,dsovap,23,yqazuf.mp3,dsovap.mp3
H+3,qlarāč,1,jnapid,23,qlarāč.mp3,jnapid.mp3
1,jnexim,L+1,dsazuf,23,jnexim.mp3,dsazuf.mp3
1,myobif,H-1,stovap,23,myobif.mp3,stovap.mp3
L+2,fyarāč,-3,lgexim,23,fyarāč.mp3,lgexim.mp3
H-2,ndapid,-1,mčovap,23,ndapid.mp3,mčovap.mp3
L-1,fqapid,H-2,rzekāz,23,fqapid.mp3,rzekāz.mp3
-3,lgapid,H-2,ndapid,23,lgapid.mp3,ndapid.mp3
H-2,rzesāv,-2,mkobif,23,rzesāv.mp3,mkobif.mp3
L0,yrexim,L+3,dlapid,23,yrexim.mp3,dlapid.mp3
3,plexim,H+3,trovap,23,plexim.mp3,trovap.mp3
2,pnesāv,L0,mnesāv,23,pnesāv.mp3,mnesāv.mp3
L+3,?yekāz,H-1,njarāč,23,-yekāz.mp3,njarāč.mp3
L+3,dlexim,2,črobif,23,dlexim.mp3,črobif.mp3
L-2,mdovap,3,kyarāč,23,mdovap.mp3,kyarāč.mp3
-2,rhapid,3,byazuf,23,rhapid.mp3,byazuf.mp3
2,dmovap,L-2,mdovap,23,dmovap.mp3,mdovap.mp3
1,myarāč,3,plapid,23,myarāč.mp3,plapid.mp3
-2,rhapid,-2,ržekāz,23,rhapid.mp3,ržekāz.mp3
3,plapid,3,presāv,23,plapid.mp3,presāv.mp3
1,jnapid,0,dpapid,23,jnapid.mp3,dpapid.mp3
3,presāv,3,byovap,23,presāv.mp3,byovap.mp3
0,šzarāč,H+3,trazuf,23,šzarāč.mp3,trazuf.mp3
L+1,fnarāč,2,šlapid,23,fnarāč.mp3,šlapid.mp3
L-1,fqapid,-1,fpesāv,23,fqapid.mp3,fpesāv.mp3
L+2,fyarāč,2,dmovap,23,fyarāč.mp3,dmovap.mp3
L-2,mdazuf,H-3,rdapid,23,mdazuf.mp3,rdapid.mp3
0,šzobif,L+3,dlapid,23,šzobif.mp3,dlapid.mp3
L+3,dlapid,-2,ržekāz,23,dlapid.mp3,ržekāz.mp3
H+3,trovap,L+2,fyobif,23,trovap.mp3,fyobif.mp3
L0,yrapid,2,šlapid,23,yrapid.mp3,šlapid.mp3
2,črobif,0,dpexim,23,črobif.mp3,dpexim.mp3
0,šzarāč,-3,yparāč,23,šzarāč.mp3,yparāč.mp3
H0,fšobif,-3,yqovap,23,fšobif.mp3,yqovap.mp3
L-3,y?arāč,-1,mčazuf,23,y-arāč.mp3,mčazuf.mp3
L-1,fqexim,1,jnexim,23,fqexim.mp3,jnexim.mp3
2,šlapid,3,prekāz,23,šlapid.mp3,prekāz.mp3
H0,fšobif,0,dpexim,23,fšobif.mp3,dpexim.mp3
0,čjesāv,3,presāv,23,čjesāv.mp3,presāv.mp3
H-2,ndapid,L0,mnekāz,23,ndapid.mp3,mnekāz.mp3
-1,mfarāč,H-1,stazuf,23,mfarāč.mp3,stazuf.mp3
-1,fpesāv,H-3,rdapid,23,fpesāv.mp3,rdapid.mp3
H-3,ydekāz,-2,rhexim,23,ydekāz.mp3,rhexim.mp3
0,dpapid,H+3,qlarāč,23,dpapid.mp3,qlarāč.mp3
-1,fpekāz,H+2,hrexim,23,fpekāz.mp3,hrexim.mp3
H+2,hrapid,0,nmovap,23,hrapid.mp3,nmovap.mp3
1,kžazuf,-3,yparāč,23,kžazuf.mp3,yparāč.mp3
0,čjesāv,H-3,rdapid,23,čjesāv.mp3,rdapid.mp3
-1,fpesāv,H+3,qlarāč,23,fpesāv.mp3,qlarāč.mp3
2,črarāč,L-3,y?obif,23,črarāč.mp3,y-obif.mp3
H+2,kmesāv,L+1,fnobif,23,kmesāv.mp3,fnobif.mp3
3,plexim,H-2,rzesāv,23,plexim.mp3,rzesāv.mp3
H0,fšarāč,L+1,dsovap,23,fšarāč.mp3,dsovap.mp3
-2,lzazuf,L0,yrapid,24,lzazuf.mp3,yrapid.mp3
-3,rpekāz,H+2,hrexim,24,rpekāz.mp3,hrexim.mp3
-2,lzovap,H0,fšobif,24,lzovap.mp3,fšobif.mp3
L+2,xlazuf,H+3,trazuf,24,xlazuf.mp3,trazuf.mp3
L+1,fnarāč,H+3,trovap,24,fnarāč.mp3,trovap.mp3
L-1,ymesāv,H+1,smapid,24,ymesāv.mp3,smapid.mp3
H+3,qlobif,H+2,kmekāz,24,qlobif.mp3,kmekāz.mp3
0,dpapid,2,pnekāz,24,dpapid.mp3,pnekāz.mp3
H-3,rdapid,L-3,l?azuf,24,rdapid.mp3,l-azuf.mp3
2,šlapid,L+1,dsazuf,24,šlapid.mp3,dsazuf.mp3
H+1,smexim,2,dmazuf,24,smexim.mp3,dmazuf.mp3
H-1,njobif,-1,mfobif,24,njobif.mp3,mfobif.mp3
H-1,stovap,1,kžazuf,24,stovap.mp3,kžazuf.mp3
-3,rpekāz,H0,qtazuf,24,rpekāz.mp3,qtazuf.mp3
H+3,qlobif,3,plapid,24,qlobif.mp3,plapid.mp3
-2,lzazuf,-1,mčazuf,24,lzazuf.mp3,mčazuf.mp3
1,kžazuf,L+3,dlexim,24,kžazuf.mp3,dlexim.mp3
-1,mčazuf,1,jnexim,24,mčazuf.mp3,jnexim.mp3
-3,ypobif,L+3,?yesāv,24,ypobif.mp3,-yesāv.mp3
H+3,qlobif,2,šlapid,24,qlobif.mp3,šlapid.mp3
H+1,smapid,2,pnesāv,24,smapid.mp3,pnesāv.mp3
L-1,fqexim,-1,mfobif,24,fqexim.mp3,mfobif.mp3
3,byovap,L0,yrexim,24,byovap.mp3,yrexim.mp3
